city,lat,lng,country,iso2,admin,capital,population,population_proper
Korostyshiv,50.31723,29.056298,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Bashtanka,47.407188,32.438682,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Sokyryany,48.447466,27.416781,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Holovanivs’k,48.384004,30.461314,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Chyhyryn,49.07018,32.678563,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Borzna,51.254645,32.426901,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Svitlovods’k,49.048938,33.241063,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Teplyk,48.665658,29.745035,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Horodyshche,49.284887,31.445134,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Bilopillya,51.15016,34.312866,Ukraine,UA,Sums’ka Oblast’,minor,,
Krasnopillya,50.774583,35.259646,Ukraine,UA,Sums’ka Oblast’,minor,,
Terebovlya,49.301873,25.709974,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Balakliya,49.462699,36.859508,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Amvrosiyivka,47.793485,38.47768,Ukraine,UA,Donets’ka Oblast’,minor,,
Anan’yiv,47.721061,29.945019,Ukraine,UA,Odes’ka Oblast’,minor,,
Ivanychi,50.638793,24.360026,Ukraine,UA,Volyns’ka Oblast’,minor,,
Synel’nykove,48.320445,35.51792,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Khmil’nyk,49.555224,27.965751,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Nedryhayliv,50.83398,33.876256,Ukraine,UA,Sums’ka Oblast’,minor,,
Zhovkva,50.05825,23.972596,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Yemil’chyne,50.873488,27.806035,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Pryluky,50.593235,32.387614,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Sakhnovshchyna,49.151664,35.871978,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Ovidiopol’,46.249984,30.44127,Ukraine,UA,Odes’ka Oblast’,minor,,
Tlumach,48.86403,25.003249,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Kolomak,49.839865,35.304415,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Barvinkove,48.909696,37.020511,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Kozyatyn,49.714312,28.833848,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Kazanka,47.846249,32.821771,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Romaniv,50.148015,27.931243,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Snyatyn,48.446922,25.569371,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Velyka Lepetykha,47.175719,33.943625,Ukraine,UA,Khersons’ka Oblast’,minor,,
Popasna,48.633277,38.378037,Ukraine,UA,Luhans’ka Oblast’,minor,,
Tysmenytsya,48.90219,24.844815,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Novi Sanzhary,49.343954,34.310839,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Bilyayivka,46.483191,30.216779,Ukraine,UA,Odes’ka Oblast’,minor,,
Pohrebyshche,49.486387,29.263613,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Halych,49.121792,24.72578,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Storozhynets’,48.164295,25.720285,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Kitsman’,48.443571,25.766796,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Kivertsi,50.834248,25.45821,Ukraine,UA,Volyns’ka Oblast’,minor,,
Sarata,46.019661,29.66567,Ukraine,UA,Odes’ka Oblast’,minor,,
Hola Prystan’,46.527195,32.524169,Ukraine,UA,Khersons’ka Oblast’,minor,,
Luhyny,51.082025,28.40057,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Bershad’,48.36782,29.517265,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Zin’kiv,50.208058,34.363763,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Zhashkiv,49.245446,30.110204,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Hornostayivka,47.007771,33.72899,Ukraine,UA,Khersons’ka Oblast’,minor,,
Izyum,49.208754,37.248485,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Izyaslav,50.119467,26.821254,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Vil’nyans’k,47.94381,35.435388,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Hoshcha,50.600295,26.674347,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Lypovets’,49.229644,29.055551,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Obukhiv,50.106892,30.618475,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Petrykivka,48.729325,34.633583,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Arbuzynka,47.909719,31.31963,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Korsun’-Shevchenkivs’kyy,49.418938,31.258651,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Chernihivka,47.199922,36.161483,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Chernivtsi,48.542255,28.114727,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Rokytne,49.686653,30.473838,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Shyroke,47.69173,33.257145,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Yahotyn,50.279751,31.762461,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Stavyshche,49.391239,30.190221,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Borshchiv,48.803322,26.043466,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Orzhytsya,49.790101,32.699408,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Reshetylivka,49.565011,34.078154,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Sribne,50.663844,32.918668,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Man’kivka,48.96349,30.333659,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Zboriv,49.664839,25.140965,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Mostys’ka,49.792267,23.151249,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Bakhchysaray,44.755246,33.857819,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Vradiyivka,47.861948,30.591953,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Dolyns’ka,48.115942,32.769456,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Berezivka,47.204291,30.907801,Ukraine,UA,Odes’ka Oblast’,minor,,
Khrystynivka,48.824883,29.968055,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Yarmolyntsi,49.192363,26.837252,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Vasylivka,47.436944,35.274167,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Ordzhonikidze,47.667625,34.059574,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Shats’k,51.502084,23.93806,Ukraine,UA,Volyns’ka Oblast’,minor,,
Volodymyrets’,51.421295,26.144688,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Novyy Buh,47.693084,32.521601,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Stara Vyzhivka,51.437625,24.439971,Ukraine,UA,Volyns’ka Oblast’,minor,,
Chortkiv,49.017087,25.798045,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Stara Synyava,49.603177,27.619091,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Znam”yanka,48.712778,32.664722,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Zalishchyky,48.643314,25.737944,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Orikhiv,47.567311,35.785748,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Illintsi,49.104791,29.217732,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Kotel’va,50.068645,34.758618,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Shyryayeve,47.380518,30.196385,Ukraine,UA,Odes’ka Oblast’,minor,,
Chutove,49.710431,35.165709,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Velykyy Burluk,50.061695,37.383728,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Velykyy Bereznyy,48.897208,22.460516,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Kryzhopil’,48.382889,28.866217,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Prymors’k,46.734786,36.344246,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Starobil’s’k,49.278321,38.910692,Ukraine,UA,Luhans’ka Oblast’,minor,,
Lyubar,49.92045,27.75918,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Katerynopil’,48.955299,30.968234,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Vil’shanka,48.236038,30.876081,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Sambir,49.518301,23.197525,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Ivanivka,46.72082,34.552982,Ukraine,UA,Khersons’ka Oblast’,minor,,
Ivanivka,46.975687,30.469983,Ukraine,UA,Odes’ka Oblast’,minor,,
Makariv,50.464077,29.811277,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Manhush,47.055817,37.310677,Ukraine,UA,Donets’ka Oblast’,minor,,
Zvenyhorodka,49.078664,30.967545,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Vynohradiv,48.144201,23.02629,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Semenivka,52.178273,32.581827,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Perechyn,48.736157,22.481999,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Sovyets’kyy,45.34267,34.924631,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Narodychi,51.202858,29.082281,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Markivka,49.522896,39.570548,Ukraine,UA,Luhans’ka Oblast’,minor,,
Krasnyy Lyman,48.988365,37.802247,Ukraine,UA,Donets’ka Oblast’,minor,,
Sharhorod,48.738346,28.084969,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Nyzhn’ohirs’kyy,45.447894,34.738392,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Bilozerka,46.624798,32.442509,Ukraine,UA,Khersons’ka Oblast’,minor,,
Tyachiv,48.011795,23.570611,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Murovani Kurylivtsi,48.723477,27.518919,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Vin’kivtsi,49.034617,27.236172,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Mezhova,48.253177,36.734685,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Polonne,50.124238,27.510874,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Yampil’,48.242404,28.281947,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Hrebinka,50.117116,32.436098,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Peremyshlyany,49.665229,24.558457,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Skadovs’k,46.116102,32.911237,Ukraine,UA,Khersons’ka Oblast’,minor,,
Krasnodon,48.292352,39.739213,Ukraine,UA,Luhans’ka Oblast’,minor,,
Novoarkhanhel’s’k,48.658029,30.818214,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Seredyna-Buda,52.189025,34.036392,Ukraine,UA,Sums’ka Oblast’,minor,,
Pavlohrad,48.534261,35.870985,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Nova Odesa,47.307783,31.785063,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Dolyna,48.973302,24.00944,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Bus’k,49.965484,24.612269,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Novoukrayinka,48.326353,31.528521,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Irshava,48.31667,23.038459,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Shepetivka,50.185447,27.063647,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Pokrovs’ke,47.978518,36.225599,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Ovruch,51.324595,28.803514,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Derhachi,50.106586,36.121116,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Sokal’,50.474378,24.282882,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Lanivtsi,49.863275,26.09082,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Volnovakha,47.601034,37.496744,Ukraine,UA,Donets’ka Oblast’,minor,,
Chornomors’ke,45.506572,32.697765,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Novomoskovs’k,48.637985,35.245477,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Horodenka,48.672738,25.50163,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Mar”yinka,47.945271,37.505436,Ukraine,UA,Donets’ka Oblast’,minor,,
Hlukhiv,51.678221,33.916204,Ukraine,UA,Sums’ka Oblast’,minor,,
Ochakiv,46.612829,31.549822,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Oleksandrivka,48.708368,36.91561,Ukraine,UA,Donets’ka Oblast’,minor,,
Berezanka,46.852615,31.388025,Ukraine,UA,Mykolayivs’ka Oblast’,minor,,
Lyubashivka,47.837157,30.259763,Ukraine,UA,Odes’ka Oblast’,minor,,
Chemerivtsi,49.01179,26.342035,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Lyubeshiv,51.765346,25.5142,Ukraine,UA,Volyns’ka Oblast’,minor,,
Berehove,48.20555,22.644176,Ukraine,UA,Zakarpats’ka Oblast’,minor,,
Savran’,48.13219,30.082466,Ukraine,UA,Odes’ka Oblast’,minor,,
Putyvl’,51.337449,33.870659,Ukraine,UA,Sums’ka Oblast’,minor,,
Kuybysheve,47.358002,36.649075,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Demydivka,50.428142,25.336187,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Mykolayivka,47.541348,30.756146,Ukraine,UA,Odes’ka Oblast’,minor,,
Shevchenkove,49.695853,37.173484,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Buchach,49.062539,25.387981,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Bobrovytsya,50.746927,31.394802,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Hertsa,48.150621,26.259913,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Rozhyshche,50.915425,25.269055,Ukraine,UA,Volyns’ka Oblast’,minor,,
Hadyach,50.371118,33.990988,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Pidhaytsi,49.268535,25.133412,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Tetiyiv,49.376698,29.664738,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Staryy Sambir,49.438556,23.000558,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Novomykolayivka,47.978099,35.910195,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Rozdil’na,46.851755,30.079543,Ukraine,UA,Odes’ka Oblast’,minor,,
Pervomays’kyy,49.387419,36.214707,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Skvyra,49.731771,29.665694,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Kominternivs’ke,46.8128,30.939339,Ukraine,UA,Odes’ka Oblast’,minor,,
Monastyryshche,48.990902,29.8047,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Rohatyn,49.409003,24.609265,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Kodyma,48.09875,29.12463,Ukraine,UA,Odes’ka Oblast’,minor,,
Mykhaylivka,47.272347,35.222352,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Vovchans’k,50.290785,36.94108,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Ustynivka,47.95507,32.536738,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Koryukivka,51.768772,32.24813,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Bohorodchany,48.806996,24.538342,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Mykolayiv,49.523723,23.985219,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Antratsyt,48.115032,39.091283,Ukraine,UA,Luhans’ka Oblast’,minor,,
Volodars’k-Volyns’kyy,50.597645,28.442999,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Volodars’ke,47.20533,37.321386,Ukraine,UA,Donets’ka Oblast’,minor,,
Krasni Okny,47.540443,29.460013,Ukraine,UA,Odes’ka Oblast’,minor,,
Chornobay,49.666438,32.329325,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Radyvyliv,50.129938,25.255764,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Baryshivka,50.36098,31.32173,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Velyka Mykhaylivka,47.079711,29.857533,Ukraine,UA,Odes’ka Oblast’,minor,,
Mahdalynivka,48.921108,34.914908,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Tsarychanka,48.936973,34.478596,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Borova,49.377695,37.621363,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Kam”yanka,49.031801,32.103964,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Novopskov,49.546402,39.089867,Ukraine,UA,Luhans’ka Oblast’,minor,,
Lozova,48.889369,36.317546,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Dobrovelychkivka,48.387778,31.180278,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Kostyantynivka,48.527701,37.706905,Ukraine,UA,Donets’ka Oblast’,minor,,
Pyryatyn,50.242421,32.506211,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Zachepylivka,49.193846,35.239433,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Mashivka,49.443077,34.866875,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Dubno,50.416937,25.734325,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Berezne,51.000942,26.751061,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Lokhvytsya,50.367757,33.260244,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Tal’ne,48.888772,30.694819,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Talalayivka,50.839127,33.143741,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Pustomyty,49.715321,23.912951,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Novohrad-Volyns’kyy,50.59412,27.616503,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Artsyz,45.991936,29.418236,Ukraine,UA,Odes’ka Oblast’,minor,,
Blyznyuky,48.857747,36.555046,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Andrushivka,50.022878,29.020226,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Dvorichna,49.850187,37.682621,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Kam”yanka-Buz’ka,50.106546,24.344509,Ukraine,UA,L’vivs’ka Oblast’,minor,,
Ruzhyn,49.722804,29.204548,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Letychiv,49.382631,27.630511,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Nadvirna,48.634799,24.569364,Ukraine,UA,Ivano-Frankivs’ka Oblast’,minor,,
Lutuhyne,48.40507,39.226754,Ukraine,UA,Luhans’ka Oblast’,minor,,
Lenine,45.298571,35.777083,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Dubrovytsya,51.57438,26.565034,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Starokostyantyniv,49.757637,27.20342,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Korets’,50.616545,27.16055,Ukraine,UA,Rivnens’ka Oblast’,minor,,
Tatarbunary,45.837308,29.614243,Ukraine,UA,Odes’ka Oblast’,minor,,
Bilovods’k,49.20543,39.582793,Ukraine,UA,Luhans’ka Oblast’,minor,,
Kiliya,45.455181,29.263672,Ukraine,UA,Odes’ka Oblast’,minor,,
Radomyshl’,50.496132,29.229108,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Teofipol’,49.838182,26.414332,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Krasnohvardiys’ke,45.502711,34.301342,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Balta,47.935476,29.619822,Ukraine,UA,Odes’ka Oblast’,minor,,
Kaniv,49.751825,31.460044,Ukraine,UA,Cherkas’ka Oblast’,minor,,
Verkhn’odniprovs’k,48.652423,34.334571,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Horodok,49.163739,26.58394,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Hlyboka,48.089711,25.929333,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Malyn,50.772332,29.238328,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Kremenets’,50.096928,25.724586,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Rozdol’ne,45.770828,33.487769,Ukraine,UA,"Krym, Avtonomna Respublika",minor,,
Velyka Bahachka,49.791162,33.72258,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Velyka Oleksandrivka,47.319691,33.303734,Ukraine,UA,Khersons’ka Oblast’,minor,,
Velyka Bilozerka,47.277556,34.706158,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Novhorodka,48.365061,32.657846,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Novhorod-Sivers’kyy,52.005772,33.261498,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Hulyaypole,47.663893,36.256326,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Nova Ushytsya,48.837157,27.274337,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,,
Hlobyne,49.387837,33.259587,Ukraine,UA,Poltavs’ka Oblast’,minor,,
Sosnytsya,51.523873,32.499849,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Bakhmach,51.200933,32.774507,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Petrove,48.324674,33.256166,Ukraine,UA,Kirovohrads’ka Oblast’,minor,,
Yasynuvata,48.129804,37.859402,Ukraine,UA,Donets’ka Oblast’,minor,,
Vyshhorod,50.584758,30.489799,Ukraine,UA,Kyyivs’ka Oblast’,minor,,
Enerhodar,47.503635,34.630044,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Yur”yivka,48.737479,36.019875,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,,
Olevs’k,51.22482,27.652281,Ukraine,UA,Zhytomyrs’ka Oblast’,minor,,
Kam”yanka-Dniprovs’ka,47.484813,34.41146,Ukraine,UA,Zaporiz’ka Oblast’,minor,,
Kamin’-Kashyrs’kyy,51.62412,24.958641,Ukraine,UA,Volyns’ka Oblast’,minor,,
Novoselytsya,48.219314,26.26531,Ukraine,UA,Chernivets’ka Oblast’,minor,,
Ripky,51.801046,31.083827,Ukraine,UA,Chernihivs’ka Oblast’,minor,,
Manevychi,51.294052,25.534356,Ukraine,UA,Volyns’ka Oblast’,minor,,
Zbarazh,49.663574,25.776162,Ukraine,UA,Ternopil’s’ka Oblast’,minor,,
Krasnohrad,49.38009,35.441861,Ukraine,UA,Kharkivs’ka Oblast’,minor,,
Zhmerynka,49.03705,28.112013,Ukraine,UA,Vinnyts’ka Oblast’,minor,,
Novotroyits’ke,46.355601,34.332718,Ukraine,UA,Khersons’ka Oblast’,minor,,
